,1 quadrant,2 quadrants,3 quadrants
NN (baseline),1976.2674115945738,1707.0166585026457,1323.5889919878196
CVAE (Monte Carlo),1423.3556087603583,1055.81907814684,532.5261590244671
Performance gap,552.9118028342155,651.1975803558057,791.0628329633524
